Video_ID,Category,Slide_1_Title,Slide_2_Question,Slide_3_Question,Slide_4_Question,Slide_5_Question,Slide_6_Question,Status
Video_1,Couples / Relationships,5 uncomfortable but healthy questions for couples,Do you feel like we're growing together or apart?,What is something you think we don't talk about enough?,How do you really feel about our physical intimacy?,Is there something you've been wanting to do as a couple that we haven't done yet?,Do you feel like I respect your boundaries?,Done
Video_2,Couples / Relationships,5 questions to ask your partner late at night,Are you in love with me or just comfortable?,What's a fear you have about our future?,Do you feel safe telling me when I hurt your feelings?,What's a habit of mine you quietly tolerate?,When do you feel closest to me?,Done
Video_3,Situationships,5 questions for when you don't know what you are,Are we actually exclusive or are you still keeping options open?,What's stopping us from making this official?,Do you act like this with everyone or just me?,Are you afraid of commitment or just commitment with me?,What happens if one of us catches deeper feelings?,Done
Video_4,Couples / Relationships,5 questions to test your emotional intimacy,What's something I do that accidentally makes you feel insecure?,Do you feel fully seen and understood by me?,How do you feel when we sit in silence together?,What's a side of you that you're still hiding from me?,What are you most afraid of losing right now?,Done
Video_5,Couples / Relationships,5 questions to ask before moving in together,How do you handle money and splitting expenses?,What does personal space look like to you in a shared home?,How do you react when you're overwhelmed or stressed?,What's your biggest pet peeve about living with someone?,How will we handle chores when we're both exhausted?,Done
Video_6,Couples / Relationships,5 questions for couples who want to grow,Are we building a life together or just passing time?,What's a habit we need to leave in the past?,How can I better support your personal goals?,Do you feel like we communicate well during arguments?,What's your favorite memory of us so far?,Done
Video_7,Couples / Relationships,5 questions for when love feels boring,Are you bored or just feeling safe?,What's something fun we used to do that we stopped doing?,How can we bring back the excitement we had at the start?,Do you feel lonely even when sleeping next to me?,Is this relationship worth fighting for?,Done
Video_8,Couples / Relationships,5 questions about modern love and texting,Does social media make you feel insecure about us?,Is texting ruining our real-life connection?,What does loyalty online look like to you?,Do you ever feel the need to hide your phone from me?,Is it easy to love me?,Done
Video_9,Deep Friends,5 conversations for best friends who feel like family,When did you last feel genuinely proud of me?,What's a trait of mine you wish you had?,Do you feel safe crying in front of me?,What's a memory of us you wish you could relive?,What lesson has our friendship taught you?,Done
Video_10,Couples / Relationships,5 questions for the one that got away,Do you still look for me in crowds?,What is something you wish you said before we parted?,Are you happier now without me?,Do you ever regret walking away?,Would you do it all over again if you could?,Done
Video_11,Couples / Relationships,5 relationship check-in questions for tonight,What is a need of yours that I am currently failing to meet?,When do you feel most loved by me?,What's a trigger of yours I need to be more careful with?,How do you define true loyalty?,What's a small gesture that instantly brightens your day?,Done
Video_12,Couples / Relationships,5 questions to ask your long-term partner,When did you first realize you were falling for me?,What's the hardest challenge we've overcome as a duo?,Do you feel like your freedom is limited in this relationship?,What's a secret dream you haven't shared with anyone else?,Where do you see us in five years?,Done
Video_13,Situationships,5 questions for when you're overthinking a crush,Are you giving me mixed signals or am I just overanalyzing?,Do you reply slowly because you're busy or uninterested?,Would you care if I started dating someone else?,Are we flirting or just being friendly?,What's stopping you from making a move?,Done
Video_14,Couples / Relationships,5 hard truths every couple needs to discuss,Is love enough to keep us together?,Can you love someone and still walk away?,Do we have the same vision for our future family?,How do your friends and family really view us?,Are we holding on because of love or fear of being alone?,Done
Video_15,Self-Reflection,5 late night questions for your soul,What emotion are you suppressing the most right now?,Whose validation are you still chasing?,Are you living your life or living for someone else's expectations?,What is a harsh truth you're pretending isn't real?,What does true peace feel like to you?,Done
Video_16,Couples / Relationships,5 questions for couples going through a rough patch,Do you still believe in us?,What do I do during fights that makes things worse?,How can we rebuild trust between us?,Are we fighting each other or fighting the problem?,What do you need from me right now to feel loved?,Done
Video_17,Couples / Relationships,5 questions about physical and emotional attraction,What made you attracted to me in the beginning?,Has your attraction to me changed over time?,How do you feel about our spark right now?,What turns you on emotionally before anything physical?,Do you feel comfortable talking to me about your desires?,Done
Video_18,Group Chats,5 unhinged questions for the group chat,Who is most likely to go to jail on a night out?,Who is the most secretive about their dating life?,Who takes 3 business days to reply to a text?,Who is the designated group therapist?,If this group chat leaked who is ruined first?,Done
Video_19,Couples / Relationships,5 questions to ask your partner on a long drive,What was your very first impression of me?,What is a song that always reminds you of us?,What's the best advice someone has given you about love?,If we could travel anywhere tomorrow where are we going?,What's something you admire about my personality?,Done
Video_20,Couples / Relationships,5 questions about boundaries and jealousy,How do you deal with feeling jealous?,Where do you draw the line between privacy and secrecy?,Do you feel comfortable when I hang out with my friends?,What's a boundary you want us to set right now?,Do you feel like I respect your independence?,Done
Video_21,Couples / Relationships,5 questions for healing after heartbreak,What did our past breakups teach you about love?,Do you still carry resentment toward your ex?,How did your first heartbreak change the way you love?,Can exes ever truly be friends without drama?,What are you most afraid of experiencing again?,Done
Video_22,Couples / Relationships,5 romantic questions to ask over dinner,What's your favorite physical feature of mine?,When was the exact moment you knew you loved me?,What's the most romantic thing I've ever done for you?,How do you want us to celebrate our next milestone?,What makes our connection unique compared to anyone else?,Done
Video_23,Situationships,5 signs you are in a dead-end situationship,Why are we only hanging out after 10 PM?,Do you talk about me with your friends?,Why do you dodge plans when I ask in advance?,Are you waiting for someone better to come along?,Is this ever going to turn into a real relationship?,Done
